tie,x,y
1_1547,168695,1705254
1_1548,168695,1741536
1_1549,168695,1777818
1_1550,168695,1814100
1_1551,168695,1850382
1_1552,168695,1886664
1_1553,168695,1922946
1_1554,168695,1959228
1_1555,168695,1995510
1_1556,168695,2031792
1_1557,168695,2068074
1_1558,168695,2104356
1_1559,168695,2140638
1_1560,168695,2176920
1_1561,168695,2213202
1_1562,168695,2249484
1_1563,168695,2285766
1_1564,168695,2322048
1_1565,168695,2358330
1_1566,168695,2394612
1_1567,168695,2430894
1_1568,168695,2467176
1_1569,168695,2503458
1_1570,168695,2539740
1_1571,168695,2576022
1_1572,168695,2612304
1_1573,168695,2648586
1_1574,168695,2684868
1_1575,168695,2721150
1_1576,168695,2757432
1_1577,168695,2793714
1_1578,168695,2829996
1_1601,202434,30081
1_1602,202434,66363
1_1603,202434,102645
1_1604,202434,138927
1_1605,202434,175209
1_1606,202434,211491
1_1607,202434,247773
1_1608,202434,284055
1_1609,202434,320337
1_1610,202434,356619
1_1611,202434,392901
1_1612,202434,429183
1_1613,202434,465465
1_1614,202434,501747
1_1615,202434,538029
1_1616,202434,574311
1_1617,202434,610593
1_1618,202434,646875
1_1619,202434,683157
1_1620,202434,719439
1_1621,202434,755721
1_1622,202434,792003
1_1623,202434,828285
1_1624,202434,864567
1_1625,202434,900849
1_1626,202434,937131
1_1627,202434,973413
1_1628,202434,1009695
1_1629,202434,1045977
1_1630,202434,1082259
1_1631,202434,1118541
1_1632,202434,1154823
1_1633,202434,1191105
1_1634,202434,1227387
1_1635,202434,1263669
1_1636,202434,1299951
1_1637,202434,1336233
1_1638,202434,1372515
1_1639,202434,1408797
1_1640,202434,1445079
1_1641,202434,1481361
1_1642,202434,1517643
1_1643,202434,1553925
1_1644,202434,1590207
1_1645,202434,1626489
1_1646,202434,1662771
1_1647,202434,1699053
1_1648,202434,1735335
1_1649,202434,1771617
1_1650,202434,1807899
1_1651,202434,1844181
1_1652,202434,1880463
1_1653,202434,1916745
1_1654,202434,1953027
1_1655,202434,1989309
1_1656,202434,2025591
1_1657,202434,2061873
1_1658,202434,2098155
1_1659,202434,2134437
1_1660,202434,2170719
1_1661,202434,2207001
1_1662,202434,2243283
1_1663,202434,2279565
1_1664,202434,2315847
1_1665,202434,2352129
1_1666,202434,2388411
1_1667,202434,2424693
1_1668,202434,2460975
1_1669,202434,2497257
1_1670,202434,2533539
1_1671,202434,2569821
1_1672,202434,2606103
1_1673,202434,2642385
1_1674,202434,2678667
1_1675,202434,2714949
1_1676,202434,2751231
1_1677,202434,2787513
1_1678,202434,2823795
1_2001,0,42483
1_2002,0,78765
1_2003,0,115047
1_2004,0,151329
1_2005,0,187611
1_2006,0,223893
1_2007,0,260175
1_2008,0,296457
1_2009,0,332739
1_2010,0,369021
1_2011,0,405303
1_2012,0,441585
1_2013,0,477867
1_2014,0,514149
1_2015,0,550431
1_2016,0,586713
1_2017,0,622995
1_2018,0,659277
1_2019,0,695559
1_2020,0,731841
1_2021,0,768123
1_2022,0,804405
1_2023,0,840687
1_2024,0,876969
1_2025,0,913251
1_2026,0,949533
1_2027,0,985815
1_2028,0,1022097
1_2029,0,1058379
1_2030,0,1094661
1_2031,0,1130943
1_2032,0,1167225
1_2033,0,1203507
1_2034,0,1239789
1_2035,0,1276071
1_2036,0,1312353
1_2037,0,1348635
1_2038,0,1384917
1_2039,0,1421199
1_2040,0,1457481
1_2041,0,1493763
1_2042,0,1530045
1_2043,0,1566327
1_2044,0,1602609
1_2045,0,1638891
1_2046,0,1675173
1_2047,0,1711455
1_2048,0,1747737
1_2049,0,1784019
1_2050,0,1820301
1_2051,0,1856583
1_2052,0,1892865
1_2053,0,1929147
1_2054,0,1965429
1_2055,0,2001711
1_2056,0,2037993
1_2057,0,2074275
1_2058,0,2110557
1_2059,0,2146839
1_2060,0,2183121
1_2061,0,2219403
1_2062,0,2255685
1_2063,0,2291967
1_2064,0,2328249
1_2065,0,2364531
1_2066,0,2400813
1_2067,0,2437095
1_2068,0,2473377
1_2069,0,2509659
1_2070,0,2545941
1_2071,0,2582223
1_2072,0,2618505
1_2073,0,2654787
1_2074,0,2691069
1_2075,0,2727351
1_2076,0,2763633
1_2077,0,2799915
1_2078,0,2836197
1_2101,33739,36282
1_2102,33739,72564
1_2103,33739,108846
1_2104,33739,145128
1_2105,33739,181410
1_2106,33739,217692
1_2107,33739,253974
1_2108,33739,290256
1_2109,33739,326538
1_2110,33739,362820
1_2111,33739,399102
1_2112,33739,435384
1_2113,33739,471666
1_2114,33739,507948
1_2115,33739,544230
1_2116,33739,580512
1_2117,33739,616794
1_2118,33739,653076
1_2119,33739,689358
1_2120,33739,725640
1_2121,33739,761922
1_2122,33739,798204
1_2123,33739,834486
1_2124,33739,870768
1_2125,33739,907050
1_2126,33739,943332
1_2127,33739,979614
1_2128,33739,1015896
1_2129,33739,1052178
1_2130,33739,1088460
1_2131,33739,1124742
1_2132,33739,1161024
1_2133,33739,1197306
1_2134,33739,1233588
1_2135,33739,1269870
1_2136,33739,1306152
1_2137,33739,1342434
1_2138,33739,1378716
1_2139,33739,1414998
1_2140,33739,1451280
1_2141,33739,1487562
1_2142,33739,1523844
1_2143,33739,1560126
1_2144,33739,1596408
1_2145,33739,1632690
1_2146,33739,1668972
1_2147,33739,1705254
1_2148,33739,1741536
1_2149,33739,1777818
1_2150,33739,1814100
1_2151,33739,1850382
1_2152,33739,1886664
1_2153,33739,1922946
1_2154,33739,1959228
1_2155,33739,1995510
1_2156,33739,2031792
1_2157,33739,2068074
1_2158,33739,2104356
1_2159,33739,2140638
1_2160,33739,2176920
1_2161,33739,2213202
1_2162,33739,2249484
1_2163,33739,2285766
1_2164,33739,2322048
1_2165,33739,2358330
1_2166,33739,2394612
1_2167,33739,2430894
1_2168,33739,2467176
1_2169,33739,2503458
1_2170,33739,2539740
1_2171,33739,2576022
1_2172,33739,2612304
1_2173,33739,2648586
1_2174,33739,2684868
1_2175,33739,2721150
1_2176,33739,2757432
1_2177,33739,2793714
1_2178,33739,2829996
1_2201,67478,42483
1_2202,67478,78765
1_2203,67478,115047
1_2204,67478,151329
1_2205,67478,187611
1_2206,67478,223893
1_2207,67478,260175
1_2208,67478,296457
1_2209,67478,332739
1_2210,67478,369021
1_2211,67478,405303
1_2212,67478,441585
1_2213,67478,477867
1_2214,67478,514149
1_2215,67478,550431
1_2216,67478,586713
1_2217,67478,622995
1_2218,67478,659277
1_2219,67478,695559
1_2220,67478,731841
1_2221,67478,768123
1_2222,67478,804405
1_2223,67478,840687
1_2224,67478,876969
1_2225,67478,913251
1_2226,67478,949533
1_2227,67478,985815
1_2228,67478,1022097
1_2229,67478,1058379
